fips,county,bush,carson,christie,cruz,fiorina,gilmore,huckabee,kasich,randpaul,rubio,santorum,trump,repnopref,repother
19015,Boone,,,,,,,,,,,,,,
19017,Bremer,,,,,,,,,,,,,,
19011,Benton,,,,,,,,,,,,,,
19013,Black Hawk,,,,,,,,,,,,,,
19019,Buchanan,,,,,,,,,,,,,,
19159,Ringgold,,,,,,,,,,,,,,
19155,Pottawattamie,,,,,,,,,,,,,,
19157,Poweshiek,,,,,,,,,,,,,,
19151,Pocahontas,,,,,,,,,,,,,,
19153,Polk,,,,,,,,,,,,,,
19061,Dubuque,,,,,,,,,,,,,,
19063,Emmet,,,,,,,,,,,,,,
19065,Fayette,,,,,,,,,,,,,,
19067,Floyd,,,,,,,,,,,,,,
19069,Franklin,,,,,,,,,,,,,,
19149,Plymouth,,,,,,,,,,,,,,
19147,Palo Alto,,,,,,,,,,,,,,
19145,Page,,,,,,,,,,,,,,
19143,Osceola,,,,,,,,,,,,,,
19141,O'Brien,,,,,,,,,,,,,,
19073,Greene,,,,,,,,,,,,,,
19071,Fremont,,,,,,,,,,,,,,
19077,Guthrie,,,,,,,,,,,,,,
19075,Grundy,,,,,,,,,,,,,,
19079,Hamilton,,,,,,,,,,,,,,
19179,Wapello,,,,,,,,,,,,,,
19173,Taylor,,,,,,,,,,,,,,
19171,Tama,,,,,,,,,,,,,,
19177,Van Buren,,,,,,,,,,,,,,
19175,Union,,,,,,,,,,,,,,
19191,Winneshiek,,,,,,,,,,,,,,
19193,Woodbury,,,,,,,,,,,,,,
19195,Worth,,,,,,,,,,,,,,
19197,Wright,,,,,,,,,,,,,,
19165,Shelby,,,,,,,,,,,,,,
19167,Sioux,,,,,,,,,,,,,,
19161,Sac,,,,,,,,,,,,,,
19049,Dallas,,,,,,,,,,,,,,
19163,Scott,,,,,,,,,,,,,,
19047,Crawford,,,,,,,,,,,,,,
19045,Clinton,,,,,,,,,,,,,,
19043,Clayton,,,,,,,,,,,,,,
19169,Story,,,,,,,,,,,,,,
19041,Clay,,,,,,,,,,,,,,
19189,Winnebago,,,,,,,,,,,,,,
19183,Washington,,,,,,,,,,,,,,
19181,Warren,,,,,,,,,,,,,,
19187,Webster,,,,,,,,,,,,,,
19185,Wayne,,,,,,,,,,,,,,
19111,Lee,,,,,,,,,,,,,,
19059,Dickinson,,,,,,,,,,,,,,
19113,Linn,,,,,,,,,,,,,,
19115,Louisa,,,,,,,,,,,,,,
19117,Lucas,,,,,,,,,,,,,,
19119,Lyon,,,,,,,,,,,,,,
19051,Davis,,,,,,,,,,,,,,
19053,Decatur,,,,,,,,,,,,,,
19055,Delaware,,,,,,,,,,,,,,
19057,Des Moines,,,,,,,,,,,,,,
19103,Johnson,,,,,,,,,,,,,,
19101,Jefferson,,,,,,,,,,,,,,
19107,Keokuk,,,,,,,,,,,,,,
19105,Jones,,,,,,,,,,,,,,
19109,Kossuth,,,,,,,,,,,,,,
19029,Cass,,,,,,,,,,,,,,
19025,Calhoun,,,,,,,,,,,,,,
19027,Carroll,,,,,,,,,,,,,,
19021,Buena Vista,,,,,,,,,,,,,,
19023,Butler,,,,,,,,,,,,,,
19083,Hardin,,,,,,,,,,,,,,
19081,Hancock,,,,,,,,,,,,,,
19087,Henry,,,,,,,,,,,,,,
19085,Harrison,,,,,,,,,,,,,,
19089,Howard,,,,,,,,,,,,,,
19139,Muscatine,,,,,,,,,,,,,,
19137,Montgomery,,,,,,,,,,,,,,
19135,Monroe,,,,,,,,,,,,,,
19133,Monona,,,,,,,,,,,,,,
19131,Mitchell,,,,,,,,,,,,,,
19039,Clarke,,,,,,,,,,,,,,
19037,Chickasaw,,,,,,,,,,,,,,
19035,Cherokee,,,,,,,,,,,,,,
19033,Cerro Gordo,,,,,,,,,,,,,,
19031,Cedar,,,,,,,,,,,,,,
19099,Jasper,,,,,,,,,,,,,,
19095,Iowa,,,,,,,,,,,,,,
19097,Jackson,,,,,,,,,,,,,,
19091,Humboldt,,,,,,,,,,,,,,
19093,Ida,,,,,,,,,,,,,,
19129,Mills,,,,,,,,,,,,,,
19121,Madison,,,,,,,,,,,,,,
19123,Mahaska,,,,,,,,,,,,,,
19125,Marion,,,,,,,,,,,,,,
19127,Marshall,,,,,,,,,,,,,,
19009,Audubon,,,,,,,,,,,,,,
19003,Adams,,,,,,,,,,,,,,
19001,Adair,,,,,,,,,,,,,,
19007,Appanoose,,,,,,,,,,,,,,
19005,Allamakee,,,,,,,,,,,,,,
